rank	name	year	rating	votes	imglink	imdbLink
133	The Big Lebowski	1998	8.2	363358	"http://ia.media-imdb.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0118715/?ref_=chttp_tt_133
134	The Maltese Falcon	1941	8.2	83262	"http://ia.media-imdb.com/images/M/MV5BMTMxMjE1ODE1N15BMl5BanBnXkFtZTcwMzA4ODQ0Mg@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0033870/?ref_=chttp_tt_134
135	It Happened One Night	1934	8.2	44562	"http://ia.media-imdb.com/images/M/MV5BMTczOTQ1MTQ4MF5BMl5BanBnXkFtZTcwODI2MDk4OQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0025316/?ref_=chttp_tt_135
136	"Lock, Stock and Two Smoking Barrels"	1998	8.2	290508	"http://ia.media-imdb.com/images/M/MV5BMTU4MTM1MjUxMF5BMl5BanBnXkFtZTYwOTEzODY4._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0120735/?ref_=chttp_tt_136
137	Fargo	1996	8.2	297271	"http://ia.media-imdb.com/images/M/MV5BMTgxNzY3MzUxOV5BMl5BanBnXkFtZTcwMDA0NjMyNA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0116282/?ref_=chttp_tt_137
138	Cool Hand Luke	1967	8.2	87214	"http://ia.media-imdb.com/images/M/MV5BODMyMDA0MTY2OF5BMl5BanBnXkFtZTcwMzkzNjk3OA@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0061512/?ref_=chttp_tt_138
139	Good Will Hunting	1997	8.2	388849	"http://ia.media-imdb.com/images/M/MV5BMTk0NjY0Mzg5MF5BMl5BanBnXkFtZTcwNzM1OTM2MQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0119217/?ref_=chttp_tt_139
140	Rush	2013	8.2	64191	"http://ia.media-imdb.com/images/M/MV5BMTQyMDE0MTY0OV5BMl5BanBnXkFtZTcwMjI2OTI0OQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt1979320/?ref_=chttp_tt_140
141	The Deer Hunter	1978	8.2	167530	"http://ia.media-imdb.com/images/M/MV5BMTYzMDM5MjMyN15BMl5BanBnXkFtZTcwNzcyMTEzMQ@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0077416/?ref_=chttp_tt_141
142	My Neighbor Totoro	1988	8.2	94132	"http://ia.media-imdb.com/images/M/MV5BMjE3NzY5ODQwMV5BMl5BanBnXkFtZTcwNzY1NzcxNw@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0096283/?ref_=chttp_tt_142
