rank,name,imdbLink,year,rating,votes
104,The Bridge on the River Kwai,http://www.imdb.com/title/tt0050212/?ref_=chttp_tt_104,1957,8.3,"8.3 based on 103,029 votes"
105,Die Hard,http://www.imdb.com/title/tt0095016/?ref_=chttp_tt_105,1988,8.3,"8.3 based on 397,852 votes"
106,Batman Begins,http://www.imdb.com/title/tt0372784/?ref_=chttp_tt_106,2005,8.2,"8.2 based on 609,495 votes"
107,Yojimbo,http://www.imdb.com/title/tt0055630/?ref_=chttp_tt_107,1961,8.2,"8.2 based on 50,108 votes"
108,A Separation,http://www.imdb.com/title/tt1832382/?ref_=chttp_tt_108,2011,8.2,"8.2 based on 93,875 votes"
109,Snatch.,http://www.imdb.com/title/tt0208092/?ref_=chttp_tt_109,2000,8.2,"8.2 based on 395,217 votes"
110,Inglourious Basterds,http://www.imdb.com/title/tt0361748/?ref_=chttp_tt_110,2009,8.2,"8.2 based on 510,176 votes"
111,For a Few Dollars More,http://www.imdb.com/title/tt0059578/?ref_=chttp_tt_111,1965,8.2,"8.2 based on 95,297 votes"
112,Toy Story,http://www.imdb.com/title/tt0114709/?ref_=chttp_tt_112,1995,8.2,"8.2 based on 372,985 votes"
113,Pan's Labyrinth,http://www.imdb.com/title/tt0457430/?ref_=chttp_tt_113,2006,8.2,"8.2 based on 315,381 votes"
114,The Great Escape,http://www.imdb.com/title/tt0057115/?ref_=chttp_tt_114,1963,8.2,"8.2 based on 111,336 votes"
115,Mr. Smith Goes to Washington,http://www.imdb.com/title/tt0031679/?ref_=chttp_tt_115,1939,8.2,"8.2 based on 54,789 votes"
116,Downfall,http://www.imdb.com/title/tt0363163/?ref_=chttp_tt_116,2004,8.2,"8.2 based on 169,741 votes"
117,On the Waterfront,http://www.imdb.com/title/tt0047296/?ref_=chttp_tt_117,1954,8.2,"8.2 based on 69,330 votes"
118,Up,http://www.imdb.com/title/tt1049413/?ref_=chttp_tt_118,2009,8.2,"8.2 based on 381,376 votes"
119,Heat,http://www.imdb.com/title/tt0113277/?ref_=chttp_tt_119,1995,8.2,"8.2 based on 299,376 votes"
120,The Kid,http://www.imdb.com/title/tt0012349/?ref_=chttp_tt_120,1921,8.2,"8.2 based on 35,758 votes"
121,The General,http://www.imdb.com/title/tt0017925/?ref_=chttp_tt_121,1926,8.2,"8.2 based on 35,013 votes"
122,The Elephant Man,http://www.imdb.com/title/tt0080678/?ref_=chttp_tt_122,1980,8.2,"8.2 based on 111,778 votes"
123,The Seventh Seal,http://www.imdb.com/title/tt0050976/?ref_=chttp_tt_123,1957,8.2,"8.2 based on 74,831 votes"
124,Blade Runner,http://www.imdb.com/title/tt0083658/?ref_=chttp_tt_124,1982,8.2,"8.2 based on 328,585 votes"
125,The Maltese Falcon,http://www.imdb.com/title/tt0033870/?ref_=chttp_tt_125,1941,8.2,"8.2 based on 81,519 votes"
126,Scarface,http://www.imdb.com/title/tt0086250/?ref_=chttp_tt_126,1983,8.2,"8.2 based on 346,977 votes"
127,Ikiru,http://www.imdb.com/title/tt0044741/?ref_=chttp_tt_127,1952,8.2,"8.2 based on 27,339 votes"
128,Rebecca,http://www.imdb.com/title/tt0032976/?ref_=chttp_tt_128,1940,8.2,"8.2 based on 61,493 votes"
129,Wild Strawberries,http://www.imdb.com/title/tt0050986/?ref_=chttp_tt_129,1957,8.2,"8.2 based on 42,043 votes"
130,Gran Torino,http://www.imdb.com/title/tt1205489/?ref_=chttp_tt_130,2008,8.2,"8.2 based on 370,469 votes"
131,Fargo,http://www.imdb.com/title/tt0116282/?ref_=chttp_tt_131,1996,8.2,"8.2 based on 287,479 votes"
132,Ran,http://www.imdb.com/title/tt0089881/?ref_=chttp_tt_132,1985,8.2,"8.2 based on 55,462 votes"
133,The Big Lebowski,http://www.imdb.com/title/tt0118715/?ref_=chttp_tt_133,1998,8.2,"8.2 based on 351,009 votes"
134,It Happened One Night,http://www.imdb.com/title/tt0025316/?ref_=chttp_tt_134,1934,8.2,"8.2 based on 43,490 votes"
135,The Gold Rush,http://www.imdb.com/title/tt0015864/?ref_=chttp_tt_135,1925,8.2,"8.2 based on 41,782 votes"
136,Touch of Evil,http://www.imdb.com/title/tt0052311/?ref_=chttp_tt_136,1958,8.1,"8.1 based on 52,742 votes"
137,The Deer Hunter,http://www.imdb.com/title/tt0077416/?ref_=chttp_tt_137,1978,8.1,"8.1 based on 162,607 votes"
138,Cool Hand Luke,http://www.imdb.com/title/tt0061512/?ref_=chttp_tt_138,1967,8.1,"8.1 based on 84,995 votes"
139,The Hunt,http://www.imdb.com/title/tt2106476/?ref_=chttp_tt_139,2012,8.1,"8.1 based on 42,653 votes"
140,Diabolique,http://www.imdb.com/title/tt0046911/?ref_=chttp_tt_140,1955,8.1,"8.1 based on 27,012 votes"
141,"Lock, Stock and Two Smoking Barrels",http://www.imdb.com/title/tt0120735/?ref_=chttp_tt_141,1998,8.1,"8.1 based on 279,678 votes"
142,Judgment at Nuremberg,http://www.imdb.com/title/tt0055031/?ref_=chttp_tt_142,1961,8.1,"8.1 based on 26,008 votes"
143,The Sixth Sense,http://www.imdb.com/title/tt0167404/?ref_=chttp_tt_143,1999,8.1,"8.1 based on 478,996 votes"
144,Good Will Hunting,http://www.imdb.com/title/tt0119217/?ref_=chttp_tt_144,1997,8.1,"8.1 based on 370,208 votes"
145,No Country for Old Men,http://www.imdb.com/title/tt0477348/?ref_=chttp_tt_145,2007,8.1,"8.1 based on 400,335 votes"
146,Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/?ref_=chttp_tt_146,1969,8.1,"8.1 based on 103,664 votes"
147,Casino,http://www.imdb.com/title/tt0112641/?ref_=chttp_tt_147,1995,8.1,"8.1 based on 218,158 votes"
148,Gone with the Wind,http://www.imdb.com/title/tt0031381/?ref_=chttp_tt_148,1939,8.1,"8.1 based on 149,118 votes"
149,Jaws,http://www.imdb.com/title/tt0073195/?ref_=chttp_tt_149,1975,8.1,"8.1 based on 269,666 votes"
150,Platoon,http://www.imdb.com/title/tt0091763/?ref_=chttp_tt_150,1986,8.1,"8.1 based on 203,217 votes"
151,Kill Bill: Vol. 1,http://www.imdb.com/title/tt0266697/?ref_=chttp_tt_151,2003,8.1,"8.1 based on 473,425 votes"
152,Sin City,http://www.imdb.com/title/tt0401792/?ref_=chttp_tt_152,2005,8.1,"8.1 based on 462,049 votes"
153,Strangers on a Train,http://www.imdb.com/title/tt0044079/?ref_=chttp_tt_153,1951,8.1,"8.1 based on 64,624 votes"
154,The Wizard of Oz,http://www.imdb.com/title/tt0032138/?ref_=chttp_tt_154,1939,8.1,"8.1 based on 193,634 votes"
155,Trainspotting,http://www.imdb.com/title/tt0117951/?ref_=chttp_tt_155,1996,8.1,"8.1 based on 315,037 votes"
156,The Thing,http://www.imdb.com/title/tt0084787/?ref_=chttp_tt_156,1982,8.1,"8.1 based on 176,288 votes"
157,The Grapes of Wrath,http://www.imdb.com/title/tt0032551/?ref_=chttp_tt_157,1940,8.1,"8.1 based on 42,531 votes"
158,Hotel Rwanda,http://www.imdb.com/title/tt0395169/?ref_=chttp_tt_158,2004,8.1,"8.1 based on 181,358 votes"
159,Annie Hall,http://www.imdb.com/title/tt0075686/?ref_=chttp_tt_159,1977,8.1,"8.1 based on 128,033 votes"
160,V for Vendetta,http://www.imdb.com/title/tt0434409/?ref_=chttp_tt_160,2005,8.1,"8.1 based on 512,356 votes"
161,The Secret in Their Eyes,http://www.imdb.com/title/tt1305806/?ref_=chttp_tt_161,2009,8.1,"8.1 based on 74,201 votes"
162,Warrior,http://www.imdb.com/title/tt1291584/?ref_=chttp_tt_162,2011,8.1,"8.1 based on 193,650 votes"
163,High Noon,http://www.imdb.com/title/tt0044706/?ref_=chttp_tt_163,1952,8.1,"8.1 based on 57,094 votes"
164,Finding Nemo,http://www.imdb.com/title/tt0266543/?ref_=chttp_tt_164,2003,8.1,"8.1 based on 410,141 votes"
165,My Neighbor Totoro,http://www.imdb.com/title/tt0096283/?ref_=chttp_tt_165,1988,8.1,"8.1 based on 89,182 votes"
166,Dial M for Murder,http://www.imdb.com/title/tt0046912/?ref_=chttp_tt_166,1954,8.1,"8.1 based on 66,377 votes"
167,How to Train Your Dragon,http://www.imdb.com/title/tt0892769/?ref_=chttp_tt_167,2010,8.1,"8.1 based on 252,844 votes"
168,Into the Wild,http://www.imdb.com/title/tt0758758/?ref_=chttp_tt_168,2007,8.1,"8.1 based on 265,590 votes"
169,Life of Brian,http://www.imdb.com/title/tt0079470/?ref_=chttp_tt_169,1979,8.1,"8.1 based on 184,610 votes"
170,The Avengers,http://www.imdb.com/title/tt0848228/?ref_=chttp_tt_170,2012,8.1,"8.1 based on 574,655 votes"
171,Notorious,http://www.imdb.com/title/tt0038787/?ref_=chttp_tt_171,1946,8.1,"8.1 based on 52,842 votes"
172,Million Dollar Baby,http://www.imdb.com/title/tt0405159/?ref_=chttp_tt_172,2004,8.1,"8.1 based on 306,067 votes"
173,The Terminator,http://www.imdb.com/title/tt0088247/?ref_=chttp_tt_173,1984,8.1,"8.1 based on 381,371 votes"
174,Network,http://www.imdb.com/title/tt0074958/?ref_=chttp_tt_174,1976,8.1,"8.1 based on 70,369 votes"
175,There Will Be Blood,http://www.imdb.com/title/tt0469494/?ref_=chttp_tt_175,2007,8.1,"8.1 based on 253,703 votes"
176,The Best Years of Our Lives,http://www.imdb.com/title/tt0036868/?ref_=chttp_tt_176,1946,8.1,"8.1 based on 28,029 votes"
177,Ben-Hur,http://www.imdb.com/title/tt0052618/?ref_=chttp_tt_177,1959,8.1,"8.1 based on 107,126 votes"
178,Rush,http://www.imdb.com/title/tt1979320/?ref_=chttp_tt_178,2013,8.1,"8.1 based on 42,611 votes"
179,Stand by Me,http://www.imdb.com/title/tt0092005/?ref_=chttp_tt_179,1986,8.1,"8.1 based on 183,661 votes"
